全件数,町名,貸したい,売りたい,農地中間管理機構へ貸したい,農地に関する意向の表明なし,遊休農地（不耕作緑）
61,大社町杵築東,0,0,0,0,0
139,大社町杵築南,0,0,0,1,5
425,大社町杵築西,0,0,0,9,21
75,大社町杵築北,0,0,0,0,7
69,大社町日御碕,0,0,0,0,0
24,大社町宇龍,0,0,0,0,0
159,大社町鷺浦,0,0,0,0,0
71,大社町鵜峠,0,0,0,0,0
1305,斐川町学頭,0,0,0,14,5
1265,斐川町荘原,0,0,0,7,0
791,斐川町神庭,0,0,0,5,9
1134,斐川町三絡,0,0,0,7,4
819,斐川町上庄原,0,0,0,1,2
614,斐川町阿宮,0,0,0,0,1
1197,斐川町出西,0,0,0,11,9
957,斐川町神氷,0,0,0,2,6
475,斐川町求院,0,0,0,0,0
538,斐川町併川,0,0,0,9,0
916,斐川町富村,0,0,0,2,0
427,斐川町名島,0,0,0,0,0
383,斐川町鳥井,0,0,0,0,0
689,斐川町上直江,0,0,0,8,1
1328,斐川町直江,0,0,0,16,14
541,斐川町美南,0,0,0,1,0
408,斐川町福富,0,0,0,3,1
808,斐川町原鹿,0,0,0,0,0
414,斐川町今在家,0,0,0,0,1
896,斐川町沖洲,0,0,0,0,0
644,斐川町中洲,0,0,0,1,1
804,斐川町黒目,0,0,0,0,7
1586,斐川町三分市,0,0,0,3,7
1269,斐川町坂田,0,0,0,0,6
